                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9137,                 4.4445,                  2.507,                 0.6095,                0.15358,                0.15156,                0.06244,                 2.7228,                 3.1461,                 2.7292,             0.00014383,             0.00014383,             0.00014383
                      2,                 1.8581,                 2.5278,                 1.6524,                0.66342,                0.41444,                0.33737,                0.19077,                 2.2549,                 2.0997,                 2.5343,               0.000265,               0.000265,               0.000265
                      3,                  1.511,                 2.1389,                 1.4417,                0.68104,                0.44845,                0.36359,                0.21512,                 2.2129,                 1.8683,                  2.388,             0.00036225,             0.00036225,             0.00036225
                      4,                 1.3717,                 1.7767,                 1.3248,                0.71865,                0.48059,                0.42309,                 0.2779,                 1.9856,                 1.6389,                 2.4229,             0.00032734,             0.00032734,             0.00032734
                      5,                 1.2842,                  1.542,                 1.2517,                0.65362,                0.47894,                0.41442,                0.27026,                 1.9573,                 1.5454,                 2.2492,             0.00032734,             0.00032734,             0.00032734
                      6,                 1.1959,                 1.3533,                 1.1957,                 0.6716,                0.50898,                0.44236,                0.29939,                  1.891,                 1.4496,                 2.1281,             0.00029145,             0.00029145,             0.00029145
                      7,                  1.122,                 1.2306,                  1.152,                 0.6507,                0.53754,                0.47179,                0.31402,                 1.8869,                 1.3572,                 2.2882,             0.00025556,             0.00025556,             0.00025556
                      8,                 1.0617,                 1.1258,                  1.118,                0.50662,                0.60736,                0.50892,                0.36178,                 1.8131,                 1.2539,                 2.1457,             0.00021968,             0.00021968,             0.00021968
                      9,                 1.0196,                 1.0398,                 1.0927,                 0.5927,                0.60076,                 0.5315,                0.37959,                 1.7852,                 1.2169,                 2.1489,             0.00018379,             0.00018379,             0.00018379
                     10,                 0.9731,                0.95757,                 1.0694,                0.53531,                0.63449,                 0.5433,                0.39021,                 1.7663,                 1.1911,                   2.11,              0.0001479,              0.0001479,              0.0001479
                     11,                0.94087,                0.91274,                 1.0505,                0.56769,                0.67434,                0.54735,                0.39673,                 1.7656,                 1.1419,                 2.1387,             0.00011201,             0.00011201,             0.00011201
                     12,                0.89685,                0.85827,                   1.03,                0.52047,                0.68555,                0.59254,                0.44341,                 1.7173,                 1.0805,                 2.1416,             7.6125e-05,             7.6125e-05,             7.6125e-05
